year,nweek,count
2017,1,3
2017,2,1
2017,3,1
2017,4,1
2017,5,1
2017,6,6
2017,7,2
2017,8,3
2017,9,1
2017,10,2
2017,11,2
2017,12,3
2017,13,7
2017,14,2
2017,15,4
2017,16,3
2017,17,3
2017,18,1
2017,19,4
2017,20,2
2017,21,3
2017,22,3
2017,23,1
2017,24,3
2017,25,5
2017,26,5
2017,27,3
2017,28,6
2017,29,5
2017,30,1
2017,31,7
2017,32,3
2017,33,4
2017,34,5
2017,35,6
2017,36,1
2017,37,3
2017,38,2
2017,39,3
2017,40,4
2017,41,5
2017,42,1
2017,43,2
2017,44,9
2017,45,12
2017,46,4
2017,47,1
2017,48,15
2017,49,8
2017,50,2
2017,51,3
2017,52,2
2018,1,4
2018,2,4
2018,3,2
2018,4,6
2018,5,4
2018,6,2
2018,7,10
2018,8,6
2018,9,10
2018,10,5
2018,11,12
2018,12,1
2018,13,10
2018,14,1
2018,15,2
2018,16,3
2018,17,5
2018,18,6
2018,19,5
2018,20,7
2018,21,8
2018,22,1
2018,23,8
2018,24,13
2018,25,8
2018,26,3
2018,27,12
2018,28,1
2018,29,4
2018,30,6
2018,31,1
2018,32,3
2018,33,13
2018,34,9
2018,35,9
2018,36,6
2018,37,3
2018,38,6
2018,39,8
2018,40,12
2018,41,4
2018,42,9
2018,43,6
2018,44,6
2018,45,3
2018,46,1
2018,52,3
2019,1,4
2019,2,4
2019,3,2
2019,4,6
2019,5,4
2019,6,2
2019,7,10
2019,8,6
2019,9,10
2019,10,5
2019,11,12
2019,12,1
2019,13,10
2019,14,1
2019,15,2
2019,16,3
2019,17,5
2019,18,6
2019,19,5
2019,20,7
2019,21,8
2019,22,1
2019,23,8
2019,24,13
2019,25,8
2019,26,3
2019,27,12
2019,28,1
2019,29,4
2019,30,6
2019,31,1
2019,32,3
2019,33,13
2019,34,9
2019,35,9
2019,36,6
2019,37,3
2019,38,6
2019,39,8
2019,40,12
2019,41,4
2019,42,9
2019,43,6
2019,44,6
2019,45,3
2019,46,1
2019,52,3
